byr,S,age3,age4,age5,age6,age7
1974,15201,0,7136.825373,38131.02745,15210.77072,0
1975,14088,0,4448.619869,19891.00787,8622.338536,0
1976,48916,0,3900.197621,14893.1302,18001.21264,0
1977,85784,0,2612.829859,18838.47835,16190.82379,0
1978,54967,0,5442.227078,22543.33822,16202.94738,7.205007639
1979,60607,0,10299.88995,21153.84797,20273.59687,27.30818808
1980,35096,0,7651.391818,20840.53153,14969.66384,6.021610171
1981,23162,0,7214.323499,22105.25926,12206.54445,995.1608345
1982,37222,0,18330.01656,23345.10337,30148.74017,414.1126928
1983,43871,10.25499658,6739.834953,12610.85047,14969.78482,146.9840993
1984,39054,4.702138582,6068.915777,8314.417432,18929.88071,0.450528443
1985,41640,493.2906181,8152.240008,21165.35878,15564.72129,5.945570052
1986,47657,506.1932394,8211.930548,10715.63657,10331.6496,4.522185604
1987,35226,444.9414573,4633.938927,8695.85262,7177.54632,98.76031988
1988,43795,0,5639.144564,10212.27583,4262.32579,160.8943193
1989,23246,3031.611401,4651.393924,4535.985111,3202.41724,0
1990,41671,1.507395201,1699.836515,3028.805022,1968.104001,0
1991,21020,2.853086645,3964.622159,5496.223565,6056.143591,114.9801707
1992,20248,105.5671596,7032.743565,23596.54792,10308.0774,67.02465355
1993,16207,6.351709202,6064.447199,15574.93055,8386.063685,0
1994,9832,74.51431688,10597.52278,14346.70878,4211.756031,1.112873603
1995,10048,0,10086.65228,32682.43354,9375.997907,0
1996,14349,0,4469.17838,15449.95507,5223.693843,0
1997,35587,0.970013907,7943.8183,18779.8733,6520.574758,0
1998,36310,477.0369472,8793.423214,22490.9971,9900.167055,0
1999,29088,533.4056833,16631.99785,43560.73504,5220.875877,0
2000,33965,472.499939,11880.20047,25469.40799,8430.324527,0
2001,27966,660.011137,12866.9897,20997.75276,4693.814774,0
2002,28535,537.9618724,8664.500208,16836.50952,4508.784471,0
2003,39257,0,2142.828484,3692.01092,1137.897304,0
2004,56659,0,1522.699263,3022.265276,1882.543981,0
2005,36433,0,8385.562933,15190.18246,1511.829091,0
2006,29922,0,4544.071677,14047.41197,2399.387597,0
2007,17594,194.745929,5858.337726,4089.865222,3222.331759,0
2008,7284,503.9430302,8615.982734,11470.63804,2129.114728,0
2009,11641,654.3784355,4200.347076,6986.023776,3288.854189,0
2010,18223,771.0477535,6963.055947,12625.28507,1742.89931,0
2011,18553,1526.481156,7025.89247,8638.644598,1173.5659,0
2012,13952,2832.465642,10827.7977,8825.594142,85.93809031,0
2013,18378,4023.658391,1501.26569,3007.833161,248.2393609,NA
2014,16099,1100.574268,2148.452258,7191.536359,NA,NA
2015,23627,3351.585522,1363.940421,NA,NA,NA
2016,22099,950.8087203,NA,NA,NA,NA
2017,11034,NA,NA,NA,NA,NA
2018,8549,NA,NA,NA,NA,NA
2019,9705,NA,NA,NA,NA,NA
