date,passage,samples,strata
6/1/2023,0,0,NA
6/2/2023,0,0,NA
6/3/2023,17,0,NA
6/4/2023,42,0,NA
6/5/2023,87,0,NA
6/6/2023,184,7,NA
6/7/2023,16,0,NA
6/8/2023,6,4,NA
6/9/2023,95,9,NA
6/10/2023,115,1,NA
6/11/2023,0,0,NA
6/12/2023,0,0,NA
6/13/2023,3,1,NA
6/14/2023,10,3,NA
6/15/2023,47,0,NA
6/16/2023,86,2,NA
6/17/2023,32,12,NA
6/18/2023,128,12,NA
6/19/2023,273,28,NA
6/20/2023,157,20,NA
6/21/2023,114,14,NA
6/22/2023,241,60,NA
6/23/2023,504,50,NA
6/24/2023,220,27,NA
6/25/2023,397,30,NA
6/26/2023,106,3,NA
6/27/2023,72,7,NA
6/28/2023,53,8,NA
6/29/2023,11,6,NA
6/30/2023,197,9,NA
7/1/2023,79,5,NA
7/2/2023,48,4,NA
7/3/2023,37,4,NA
7/4/2023,68,5,NA
7/5/2023,31,14,NA
7/6/2023,10,3,NA
7/7/2023,122,10,NA
7/8/2023,5,0,NA
7/9/2023,2,0,NA
7/10/2023,13,4,NA
7/11/2023,10,0,NA
7/12/2023,23,0,NA
7/13/2023,7,0,NA
7/14/2023,4,1,NA
7/15/2023,14,0,NA
7/16/2023,0,0,NA
7/17/2023,0,0,NA
7/18/2023,0,0,NA
7/19/2023,0,0,NA
7/20/2023,0,0,NA
7/21/2023,0,0,NA
7/22/2023,0,0,NA
7/23/2023,0,0,NA
7/24/2023,0,0,NA
7/25/2023,0,0,NA
7/26/2023,0,0,NA
7/27/2023,0,0,NA
7/28/2023,0,0,NA
7/29/2023,0,0,NA
7/30/2023,4,0,NA
7/31/2023,1,0,NA
8/1/2023,5,0,NA
8/2/2023,4,0,NA
8/3/2023,3,0,NA
8/4/2023,0,0,NA
8/5/2023,0,0,NA
8/6/2023,1,0,NA
8/7/2023,2,0,NA
8/8/2023,0,0,NA
8/9/2023,2,0,NA
8/10/2023,0,0,NA
8/11/2023,7,0,NA
8/12/2023,4,0,NA
8/13/2023,5,0,NA
8/14/2023,6,0,NA
8/15/2023,1,0,NA
8/16/2023,4,0,NA
8/17/2023,0,0,NA
8/18/2023,2,0,NA
8/19/2023,0,0,NA
8/20/2023,1,0,NA
8/21/2023,0,0,NA
8/22/2023,1,0,NA
8/23/2023,1,0,NA
8/24/2023,1,0,NA
8/25/2023,0,0,NA
