date,passage,samples,strata,cum_pass,cum_samples,perc_pass,perc_samp,diff
6/1/2023,0,0,,0,0,0,0,0
6/2/2023,0,0,,0,0,0,0,0
6/3/2023,17,0,,17,0,0.00454424,0,0.00454424
6/4/2023,42,0,,59,0,0.015771184,0,0.015771184
6/5/2023,87,0,,146,0,0.039026998,0,0.039026998
6/6/2023,184,7,,330,7,0.088211708,0.019283747,0.068927962
6/7/2023,16,0,,346,7,0.092488639,0.019283747,0.073204893
6/8/2023,6,4,,352,11,0.094092489,0.03030303,0.063789458
6/9/2023,95,9,,447,20,0.119486768,0.055096419,0.06439035
6/10/2023,115,1,,562,21,0.150227212,0.05785124,0.092375972
6/11/2023,0,0,,562,21,0.150227212,0.05785124,0.092375972
6/12/2023,0,0,,562,21,0.150227212,0.05785124,0.092375972
6/13/2023,3,1,,565,22,0.151029137,0.060606061,0.090423076
6/14/2023,10,3,,575,25,0.153702219,0.068870523,0.084831695
6/15/2023,47,0,,622,25,0.166265704,0.068870523,0.097395181
6/16/2023,86,2,,708,27,0.18925421,0.074380165,0.114874045
6/17/2023,32,12,,740,39,0.197808073,0.107438017,0.090370056
6/18/2023,128,12,,868,51,0.232023523,0.140495868,0.091527655
6/19/2023,273,28,,1141,79,0.304998663,0.217630854,0.087367809
6/20/2023,157,20,,1298,99,0.346966052,0.272727273,0.074238779
6/21/2023,114,14,,1412,113,0.377439187,0.311294766,0.066144422
6/22/2023,241,60,,1653,173,0.441860465,0.476584022,0.034723557
6/23/2023,504,50,,2157,223,0.576583801,0.614325069,0.037741268
6/24/2023,220,27,,2377,250,0.635391607,0.688705234,0.053313628
6/25/2023,397,30,,2774,280,0.741512964,0.771349862,0.029836898
6/26/2023,106,3,,2880,283,0.769847634,0.779614325,0.009766691
6/27/2023,72,7,,2952,290,0.789093825,0.798898072,0.009804246
6/28/2023,53,8,,3005,298,0.80326116,0.820936639,0.017675479
6/29/2023,11,6,,3016,304,0.80620155,0.837465565,0.031264014
6/30/2023,197,9,,3213,313,0.858861267,0.862258953,0.003397686
7/1/2023,79,5,,3292,318,0.879978615,0.876033058,0.003945557
7/2/2023,48,4,,3340,322,0.892809409,0.887052342,0.005757068
7/3/2023,37,4,,3377,326,0.902699813,0.898071625,0.004628188
7/4/2023,68,5,,3445,331,0.920876771,0.91184573,0.009031041
7/5/2023,31,14,,3476,345,0.929163325,0.950413223,0.021249898
7/6/2023,10,3,,3486,348,0.931836407,0.958677686,0.026841279
7/7/2023,122,10,,3608,358,0.964448009,0.986225895,0.021777887
7/8/2023,5,0,,3613,358,0.96578455,0.986225895,0.020441346
7/9/2023,2,0,,3615,358,0.966319166,0.986225895,0.019906729
7/10/2023,13,4,,3628,362,0.969794173,0.997245179,0.027451006
7/11/2023,10,0,,3638,362,0.972467255,0.997245179,0.024777924
7/12/2023,23,0,,3661,362,0.978615343,0.997245179,0.018629836
7/13/2023,7,0,,3668,362,0.980486501,0.997245179,0.016758678
7/14/2023,4,1,,3672,363,0.981555734,1,0.018444266
7/15/2023,14,0,,3686,363,0.985298049,1,0.014701951
7/16/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/17/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/18/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/19/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/20/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/21/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/22/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/23/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/24/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/25/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/26/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/27/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/28/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/29/2023,0,0,,3686,363,0.985298049,1,0.014701951
7/30/2023,4,0,,3690,363,0.986367281,1,0.013632719
7/31/2023,1,0,,3691,363,0.98663459,1,0.01336541
8/1/2023,5,0,,3696,363,0.987971131,1,0.012028869
8/2/2023,4,0,,3700,363,0.989040364,1,0.010959636
8/3/2023,3,0,,3703,363,0.989842288,1,0.010157712
8/4/2023,0,0,,3703,363,0.989842288,1,0.010157712
8/5/2023,0,0,,3703,363,0.989842288,1,0.010157712
8/6/2023,1,0,,3704,363,0.990109596,1,0.009890404
8/7/2023,2,0,,3706,363,0.990644213,1,0.009355787
8/8/2023,0,0,,3706,363,0.990644213,1,0.009355787
8/9/2023,2,0,,3708,363,0.991178829,1,0.008821171
8/10/2023,0,0,,3708,363,0.991178829,1,0.008821171
8/11/2023,7,0,,3715,363,0.993049987,1,0.006950013
8/12/2023,4,0,,3719,363,0.994119219,1,0.005880781
8/13/2023,5,0,,3724,363,0.99545576,1,0.00454424
8/14/2023,6,0,,3730,363,0.99705961,1,0.00294039
8/15/2023,1,0,,3731,363,0.997326918,1,0.002673082
8/16/2023,4,0,,3735,363,0.998396151,1,0.001603849
8/17/2023,0,0,,3735,363,0.998396151,1,0.001603849
8/18/2023,2,0,,3737,363,0.998930767,1,0.001069233
8/19/2023,0,0,,3737,363,0.998930767,1,0.001069233
8/20/2023,1,0,,3738,363,0.999198075,1,0.000801925
8/21/2023,0,0,,3738,363,0.999198075,1,0.000801925
8/22/2023,1,0,,3739,363,0.999465384,1,0.000534616
8/23/2023,1,0,,3740,363,0.999732692,1,0.000267308
8/24/2023,1,0,,3741,363,1,1,0
8/25/2023,0,0,,3741,363,1,1,0
